longitude;latitude
-9.296.677;4.501.858
-9.296.777;4.502.071
-9.297.339;449.997
-9.296.913;4.498.256
-9.297.654;4.496.818
-9.298.428;4.499.965
-9.296.762;4.501.798
-9.298.192;4.500.275
-929.816;4.500.287
-9.296.684;4.501.828
-9.297.444;4.500.192
-9.297.334;4.500.665
-9.295.527;4.499.114
-9.297.237;4.500.629
-9.295.769;4.502.007
-9.295.812;450.192
-9.296.937;4.500.569
-9.298.327;4.500.449
-9.298.407;4.499.966
-9.298.181;450.029
-929.833;4.500.056
-9.296.885;4.498.096
-9.297.456;4.500.558
-9.296.842;4.498.066
-9.296.619;4.501.863
-9.298.432;4.499.965
-929.663;4.501.941
-9.297.151;4.500.179
-9.296.579;4.501.893
-9.298.351;4.500.075
-9.294.904;4.495.317
-9.297.313;4.498.402
-9.296.115;4.498.184
-9.295.199;4.496.788
-9.297.791;4.500.582
-9.298.324;4.500.054
-9.298.382;4.500.115
-9.295.738;4.501.832
-9.297.152;4.500.179
-9.296.583;4.501.804
-9.295.816;4.502.001
-9.296.784;4.495.559
-9.296.913;4.498.256
-9.297.203;4.495.038
-9.296.791;4.497.975
-9.297.515;4.496.808
-9.297.361;449.831
-9.298.382;4.500.115
-9.298.031;4.497.877
-9.298.104;4.500.193
-9.298.098;4.500.446
-9.296.389;4.501.879
-9.297.717;4.496.978
-9.295.009;4.496.934
null;null
-9.297.813;4.500.618
-9.297.243;4.500.124
-9.296.386;4.501.879
-9.297.306;4.500.027
-9.297.187;4.500.565
-929.577;4.501.994
-929.509;4.496.781
-9.295.117;449.744
-9.298.331;4.500.369
-929.679;4.495.583
-9.296.537;4.502.054
-9.295.708;4.501.742
-9.297.219;4.495.798
-9.296.516;450.196
-9.294.851;4.498.181
-9.295.129;4.496.696
-9.297.438;4.498.272
-9.298.308;4.500.369
-9.296.687;4.495.641
-929.821;449.612
-9.295.146;4.496.697
-9.296.616;4.498.201
-9.297.443;4.500.077
-9.297.287;4.498.183
-9.295.263;4.496.695
-929.626;4.497.644
-9.298.375;4.500.148
-9.297.584;4.495.346
-9.295.747;4.501.728
-9.298.126;4.502.025
-9.295.131;4.496.648
-9.294.901;4.495.316
-9.298.373;4.500.425
-9.298.269;4.501.406
-9.295.816;4.502.001
-929.613;4.497.565
-9.296.785;4.496.316
-9.297.129;449.592
-9.297.725;450.043
-9.296.446;4.496.927
-9.296.384;4.501.863
-9.297.813;4.500.616
-9.296.347;4.496.728
-9.298.358;4.495.665
-9.297.963;4.500.421
-9.296.751;4.496.862
-9.296.112;4.497.384
-9.296.883;4.495.475
-9.295.721;4.501.546
-9.296.286;4.497.315
-9.296.058;4.497.406
-9.297.243;4.495.772
-9.297.261;4.495.002
-9.295.264;4.496.965
-9.297.139;4.498.683
-9.298.025;4.502.023
-9.297.607;4.499.864
-9.295.443;4.499.603
-9.296.654;4.497.037
-9.295.223;4.496.899
-9.296.295;449.649
-929.524;4.495.519
-9.295.187;4.496.896
-9.298.373;4.500.443
-9.296.242;4.497.671
-9.297.139;4.498.683
-9.298.358;4.495.519
-9.297.616;4.495.559
-9.297.139;4.498.683
-9.297.437;4.497.733
-9.295.141;449.736
-929.511;4.496.565
-9.296.932;4.495.383
-9.295.029;4.496.676
-9.297.662;4.500.513
-9.297.139;4.498.683
-9.297.635;4.496.328
-929.511;4.496.562
-9.295.108;4.496.641
-929.705;4.495.038
-9.297.092;4.495.814
-9.297.275;4.495.364
-9.298.142;4.496.227
-9.295.135;449.661
-9.297.584;4.502.175
-9.295.344;4.497.365
-9.296.844;4.496.131
-9.297.139;4.498.683
-929.656;4.496.491
-9.298.221;4.502.317
-9.296.568;4.496.796
-9.297.092;4.495.884
-9.297.184;4.495.555
-9.295.853;4.498.237
-9.296.769;4.499.877
-9.296.718;4.496.071
-9.295.336;4.495.663
-9.298.397;4.501.844
-9.296.428;4.497.052
-929.627;4.500.344
-9.296.785;4.495.903
-9.295.919;4.500.351
-9.296.632;449.689
-9.296.655;4.496.538
-9.297.405;4.499.124
-9.296.762;4.496.794
-9.296.947;4.495.919
-9.297.983;4.496.314
-9.296.615;4.498.674
-9.297.139;4.498.683
-9.298.126;4.501.495
-929.699;4.500.141
-929.734;4.495.748
-9.296.798;4.496.976
-9.298.071;4.501.312
-9.296.386;4.500.469
-9.296.221;450.071
-9.296.897;4.498.659
-9.297.324;4.496.821
-9.296.551;4.495.356
-9.297.383;4.498.147
-9.297.793;4.501.906
-929.627;4.498.516
-9.296.546;4.495.361
-9.295.217;4.498.826
-9.295.657;4.502.233
-9.295.789;4.502.147
-9.296.269;4.500.517
-9.296.063;4.500.815
-9.296.373;4.498.003
-9.296.202;4.500.778
-9.296.785;449.592
-9.297.295;4.495.507
-9.294.713;4.498.403
-9.297.691;4.498.244
-9.296.656;4.500.145
-9.296.645;4.499.875
-9.296.438;4.497.052
-9.295.616;4.501.492
-9.297.434;4.498.905
-929.746;449.585
-929.748;4.500.432
-9.295.688;4.497.347
-9.297.163;449.783
-9.296.897;4.498.921
-929.689;4.495.608
-9.297.926;4.496.499
-929.821;4.501.975
-929.583;4.502.468
-9.298.471;4.497.169
-9.298.459;4.498.558
-9.296.614;4.498.651
-9.296.755;4.495.383
-9.297.228;4.498.018
-9.295.224;4.495.525
-9.298.013;4.497.057
-9.295.781;4.502.438
-9.295.793;450.241
-929.569;449.823
-9.296.585;4.498.577
-9.296.121;4.497.969
-9.298.161;4.497.944
-9.296.927;4.500.209
-929.683;4.498.916
-9.295.074;4.501.418
-9.298.235;4.501.931
-9.296.359;4.500.547
-9.297.821;4.496.329
-9.295.623;4.498.429
-9.297.481;4.498.184
-9.295.664;4.499.271
-9.297.123;4.496.337
-9.296.631;4.498.731
-9.295.137;4.497.363
-929.553;450.231
-9.297.089;4.496.352
-9.296.797;4.498.283
-9.295.534;4.501.924
-9.296.756;4.498.571
-9.295.079;449.765
-9.296.199;4.498.377
-9.295.932;4.498.981
-9.297.258;4.498.885
-9.295.541;4.497.336
-9.295.222;4.495.526
-9.295.394;4.497.367
-9.297.324;4.496.821
-9.297.387;4.497.812
-9.295.975;4.501.499
-9.296.585;4.498.404
-9.295.079;4.498.857
-9.297.303;45.025
-9.296.225;4.496.825
-9.297.727;4.496.425
-9.295.107;4.497.443
-9.296.896;4.498.714
-9.296.423;4.497.052
-9.295.124;4.497.344
-9.297.308;4.496.733
-9.296.491;4.498.401
-9.294.643;449.826
-9.295.491;4.502.042
-9.295.261;4.497.694
-9.296.065;4.500.831
-9.297.972;4.502.617
-9.296.236;4.501.275
-9.297.324;4.496.821
-9.297.607;4.501.668
-9.294.594;4.498.364
-929.555;4.497.479
-9.297.228;4.498.075
-9.297.172;4.498.901
-9.297.012;4.496.603
-9.296.099;4.497.994
-9.294.755;4.499.317
-9.296.156;4.497.072
-9.295.691;4.497.713
-9.295.618;45.016
-9.296.122;4.497.992
-9.294.842;4.498.256
-9.294.992;4.498.155
-9.294.593;4.498.301
-9.295.632;4.498.083
-9.297.898;4.502.597
-929.558;4.502.312
-9.297.272;4.497.892
-9.295.776;4.498.004
-9.296.139;450.055
-9.296.012;4.501.459
-9.298.204;4.501.043
-9.296.072;450.083
-9.294.984;4.497.248
-9.294.453;4.498.364
-9.295.617;4.502.407
-9.298.296;4.502.894
