latitude;longitude;walkscore;bikescore;;
4.490.802;-9.289.695;1; null;;
4.493.366;-9.318.296;69;71;;
4.494.486;-9.315.739;70;80;;
4.497.816;-9.314.385;40;71;;
4.492.246;-9.313.986;57;68;;
4.499.096;-9.310.868;68;58;;
4.492.503;-9.307.498;52;45;;
4.499.274;-9.306.934;21; null;;
4.495.667;-9.305.794;58;52;;
4.501.903;-9.302.682;28; null;;
449.284;-9.299.055;10; null;;
4.489.206;-9.296.863;3; null;;
4.493.502;-9.295.108;36; null;;
4.491.832;-9.294.951;28; null;;
4.503.293;-9.294.587;0; null;;
448.948;-9.294.213;6; null;;
4.490.398;-9.292.978;5; null;;
448.734;-9.292.227;0; null;;
4.492.223;-9.289.806;8; null;;
4.491.506;-9.289.267;5; null;;
4.492.085;-9.289.041;11; null;;
4.491.062;-9.318.199;42;40;;
4.493.054;-9.316.803;71;68;;
4.498.407;-9.316.662;62;58;;
4.494.303;-9.312.912;87;67;;
4.497.125;-9.311.116;62;51;;
4.497.045;-9.310.829;67;53;;
4.494.099;-931.042;88;74;;
4.495.747;-9.307.893;71;70;;
4.497.092;-9.307.815;76;52;;
4.497.863;-9.307.637;73;52;;
4.502.799;-9.306.003;1; null;;
449.502;-930.524;51;69;;
4.495.017;-9.305.116;46;68;;
4.501.903;-9.304.742;17; null;;
4.496.484;-9.302.701;47;46;;
4.498.309;-9.301.988;48;61;;
4.493.986;-9.300.737;20;60;;
449.306;-930.068;19;46;;
4.500.148;-9.298.375;32; null;;
449.471;-9.297.874;18; null;;
4.501.831;-929.677;9; null;;
4.497.286;-9.295.483;22; null;;
449.711;-9.295.426;28; null;;
4.502.115;-9.292.398;0; null;;
4.494.582;-9.291.872;53; null;;
449.048;-9.289.828;0; null;;
4.493.782;-931.549;74;73;;
4.494.671;-9.315.357;67;81;;
4.498.438;-9.313.328;26;47;;
4.497.985;-9.311.216;47;48;;
4.492.574;-9.310.426;55;60;;
4.497.363;-9.310.235;64;57;;
4.498.127;-9.310.151;52;53;;
4.492.803;-9.308.154;75;40;;
4.497.595;-9.305.291;61;72;;
4.496.026;-9.302.518;48;55;;
4.496.283;-9.301.247;32;62;;
4.496.607;-9.300.811;39;61;;
4.494.364;-9.300.621;25;66;;
4.492.292;-9.300.493;12;33;;
4.496.296;-9.298.715;40; null;;
4.493.707;-9.297.908;28; null;;
4.498.004;-9.295.776;2; null;;
4.493.393;-9.292.136;18; null;;
4.496.324;-9.317.652;71;83;;
449.668;-9.315.905;56;61;;
4.492.172;-9.315.512;62;56;;
449.163;-9.314.297;50;73;;
4.497.135;-9.314.098;41;68;;
4.494.144;-9.312.958;89;69;;
4.493.844;-9.310.138;66;67;;
4.496.877;-9.308.128;70;72;;
4.499.417;-9.307.395;15; null;;
4.499.459;-9.306.797;14; null;;
449.704;-9.306.286;79;71;;
4.496.312;-9.305.696;64;64;;
4.496.631;-9.304.709;45;67;;
4.499.092;-9.304.321;32;47;;
4.503.286;-9.303.138;55; null;;
4.498.273;-9.302.404;56;60;;
4.500.075;-9.298.351;33; null;;
4.496.227;-9.298.142;45; null;;
4.502.023;-9.298.025;34; null;;
4.502.525;-929.561;0; null;;
4.501.867;-92.951;0; null;;
4.497.557;-9.294.832;8; null;;
4.495.406;-9.292.174;5; null;;
4.490.669;-929.137;5; null;;
4.495.766;-9.290.878;0; null;;
4.490.794;-9.288.414;7; null;;
4.500.585;-9.287.286;32; null;;
449.649;-9.320.711;73;80;;
4.495.344;-931.903;49;64;;
449.582;-9.316.561;85;81;;
4.494.297;-9.316.367;76;77;;
